catnip 0.2.0-1
deko3d 0.5.0-1
devkit-env 1.0.1-2
devkitA64 r30-1
devkitA64-gdb 14.1-1
devkita64-binutils 2.46.0-1
devkita64-cmake 1.1.3-1
devkita64-gcc 16.1.0-1
devkita64-newlib 4.6.0.20260123-4
devkita64-rules 1.1.1-1
devkitpro-keyring 20241017-2
dkp-cmake-common-utils 1.5.3-1
general-tools 1.4.4-1
libnx 4.12.0-1
pacman 6.0.2-6
switch-cmake 1.5.2-1
switch-curl 7.69.1-5
switch-examples 20260201-1
switch-libdrm_nouveau 1.0.1-2
switch-libpng 1.6.48-1
switch-mbedtls 2.28.10-1
switch-mesa 20.1.0-5
switch-pkg-config 0.28-4
switch-sdl2 2.28.5-4
switch-tools 1.13.1-1
switch-zlib 1.3.1-1
uam 1.1.0-1
